epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,979.64,0.62402,0.61956,1.00835,0.96658,0.92913,0.95431,0.81428,0.60008,0.6549,0.93132,0.005743,0.005743,0.005743
45,998.115,0.6134,0.61233,1.01707,0.92991,0.92594,0.95002,0.80635,0.59299,0.65985,0.92666,0.005644,0.005644,0.005644
46,1016.5,0.59655,0.60816,0.98823,0.93738,0.92721,0.95231,0.80388,0.63735,0.67523,0.95659,0.005545,0.005545,0.005545
47,1035.07,0.6164,0.62724,1.00713,0.93899,0.91045,0.95656,0.79552,0.62394,0.69738,0.94458,0.005446,0.005446,0.005446
48,1053.5,0.60276,0.62395,1.02213,0.97626,0.92913,0.95731,0.79304,0.6133,0.64068,0.93696,0.005347,0.005347,0.005347
49,1071.86,0.56707,0.59362,0.973,0.96717,0.93792,0.95847,0.80958,0.62457,0.61508,0.96598,0.005248,0.005248,0.005248
50,1090.44,0.56615,0.58411,0.99115,0.97195,0.94195,0.97006,0.80545,0.62994,0.63543,0.94297,0.005149,0.005149,0.005149
51,1108.95,0.59423,0.56719,1.00966,0.94475,0.94004,0.96481,0.79997,0.58734,0.59345,0.89454,0.00505,0.00505,0.00505
52,1127.38,0.57546,0.5938,1.00262,0.9762,0.89779,0.9551,0.809,0.57449,0.63756,0.8821,0.004951,0.004951,0.004951
53,1145.94,0.58083,0.59397,1.0078,0.96113,0.91862,0.94632,0.80164,0.5762,0.65326,0.89393,0.004852,0.004852,0.004852
54,1164.39,0.60593,0.68894,1.00219,0.99605,0.92498,0.9501,0.80104,0.57929,0.60386,0.91535,0.004753,0.004753,0.004753
55,1182.82,0.53271,0.55142,0.96851,0.97626,0.91678,0.95619,0.80823,0.57592,0.58197,0.91473,0.004654,0.004654,0.004654
56,1201.25,0.55104,0.55436,0.98434,0.99746,0.90124,0.95139,0.81185,0.55992,0.59892,0.8882,0.004555,0.004555,0.004555
57,1219.86,0.52659,0.54291,0.97671,0.97062,0.9266,0.94719,0.82036,0.54877,0.58145,0.89543,0.004456,0.004456,0.004456
58,1238.39,0.55958,0.5394,0.98264,0.97597,0.93392,0.95408,0.81125,0.55477,0.5608,0.89969,0.004357,0.004357,0.004357
59,1256.65,0.5326,0.54175,0.98033,0.9895,0.91061,0.9549,0.8153,0.58526,0.55936,0.92114,0.004258,0.004258,0.004258
60,1274.94,0.54309,0.54501,0.96337,0.9946,0.91317,0.9536,0.80856,0.60866,0.57317,0.9218,0.004159,0.004159,0.004159
61,1293.26,0.52466,0.51325,0.95317,0.99343,0.91574,0.95739,0.81797,0.58792,0.57258,0.90684,0.00406,0.00406,0.00406
62,1311.69,0.52528,0.51844,0.97124,0.99244,0.91061,0.96145,0.82265,0.5794,0.54416,0.89921,0.003961,0.003961,0.003961
63,1330.2,0.52845,0.51318,0.95979,0.98614,0.92707,0.96275,0.82625,0.5776,0.5563,0.89631,0.003862,0.003862,0.003862
64,1348.67,0.53249,0.51942,0.98834,0.98698,0.92669,0.94614,0.80714,0.57937,0.57753,0.89875,0.003763,0.003763,0.003763
65,1367.09,0.51369,0.48824,0.97239,0.99557,0.92783,0.94868,0.79418,0.59509,0.56751,0.91101,0.003664,0.003664,0.003664
66,1385.57,0.53607,0.52604,0.97976,0.99052,0.92711,0.95635,0.81724,0.57291,0.55461,0.90005,0.003565,0.003565,0.003565
67,1404,0.49987,0.48231,0.95615,0.98271,0.91061,0.96054,0.82105,0.57644,0.57404,0.89964,0.003466,0.003466,0.003466
68,1422.46,0.52843,0.49132,0.96901,0.98869,0.91802,0.96321,0.81342,0.57369,0.55279,0.90052,0.003367,0.003367,0.003367
69,1441.28,0.50352,0.4775,0.95232,0.98765,0.91846,0.96266,0.81524,0.55995,0.54045,0.88679,0.003268,0.003268,0.003268
70,1459.81,0.50677,0.4772,0.95342,0.97312,0.94765,0.96079,0.81921,0.55797,0.54829,0.87661,0.003169,0.003169,0.003169
71,1478.42,0.50992,0.47751,0.96659,0.97456,0.94765,0.96183,0.82431,0.54628,0.54784,0.86681,0.00307,0.00307,0.00307
72,1497.03,0.48793,0.46561,0.94366,0.97832,0.94585,0.96091,0.82171,0.55924,0.55054,0.88471,0.002971,0.002971,0.002971
73,1515.51,0.50557,0.48097,0.96373,0.97845,0.94522,0.96344,0.82737,0.54205,0.52298,0.86801,0.002872,0.002872,0.002872
74,1533.98,0.49848,0.4755,0.95387,0.99049,0.92846,0.96535,0.83112,0.52539,0.51207,0.85695,0.002773,0.002773,0.002773
75,1552.47,0.49057,0.48225,0.95489,0.99308,0.92913,0.96451,0.83805,0.53753,0.53186,0.87221,0.002674,0.002674,0.002674
76,1570.96,0.4838,0.461,0.94958,0.99202,0.9281,0.96297,0.83777,0.53876,0.52946,0.8763,0.002575,0.002575,0.002575
77,1589.47,0.49829,0.45742,0.94569,0.99242,0.92913,0.96111,0.83281,0.54374,0.51487,0.87364,0.002476,0.002476,0.002476
78,1607.85,0.50253,0.46668,0.96545,0.99305,0.92861,0.96137,0.82947,0.54266,0.51237,0.87228,0.002377,0.002377,0.002377
79,1626.19,0.46463,0.43419,0.94321,0.98971,0.92718,0.96539,0.83109,0.53744,0.49397,0.87246,0.002278,0.002278,0.002278
80,1644.69,0.46578,0.43988,0.94636,0.98693,0.92635,0.96166,0.83809,0.53537,0.51289,0.87536,0.002179,0.002179,0.002179
81,1663.07,0.46361,0.43105,0.94276,0.99245,0.92913,0.96059,0.84429,0.5294,0.51764,0.86786,0.00208,0.00208,0.00208
82,1681.49,0.45381,0.43667,0.93952,0.9916,0.92872,0.95726,0.82894,0.53115,0.50094,0.87022,0.001981,0.001981,0.001981
83,1700.02,0.46214,0.44215,0.93579,0.98929,0.92697,0.96149,0.829,0.5486,0.49453,0.88341,0.001882,0.001882,0.001882
84,1718.46,0.44216,0.45187,0.9325,0.98713,0.92592,0.95925,0.83272,0.54133,0.49959,0.88171,0.001783,0.001783,0.001783
85,1736.9,0.47212,0.43197,0.93862,0.9939,0.91061,0.95741,0.82607,0.51971,0.49542,0.86795,0.001684,0.001684,0.001684
86,1755.4,0.43821,0.41799,0.91374,0.98796,0.90049,0.94581,0.82523,0.53873,0.52795,0.87322,0.001585,0.001585,0.001585
87,1773.83,0.42284,0.4051,0.91839,0.99308,0.91061,0.96553,0.83209,0.5406,0.50406,0.87636,0.001486,0.001486,0.001486
88,1792.21,0.48442,0.4621,0.96336,0.99327,0.91061,0.97509,0.83654,0.55012,0.49257,0.88692,0.001387,0.001387,0.001387
89,1810.68,0.44504,0.42093,0.94427,0.98638,0.9263,0.9755,0.83555,0.54434,0.48559,0.87168,0.001288,0.001288,0.001288
90,1829.04,0.44461,0.40704,0.95215,0.98769,0.92639,0.97556,0.83441,0.53698,0.4871,0.86545,0.001189,0.001189,0.001189
91,1847.35,0.38106,0.39647,0.90443,0.9828,0.92671,0.97745,0.84111,0.5417,0.49424,0.87325,0.00109,0.00109,0.00109
92,1865.36,0.38345,0.38417,0.9093,0.98256,0.9226,0.97656,0.82633,0.55002,0.50407,0.88103,0.000991,0.000991,0.000991
93,1883.32,0.39212,0.39844,0.92164,0.9956,0.90917,0.97407,0.8247,0.54918,0.49662,0.88146,0.000892,0.000892,0.000892
94,1901.35,0.39413,0.38875,0.91793,0.99502,0.90969,0.97503,0.81883,0.54564,0.49774,0.88097,0.000793,0.000793,0.000793
95,1919.4,0.371,0.37763,0.92784,0.99544,0.91061,0.97417,0.82476,0.53133,0.49294,0.87077,0.000694,0.000694,0.000694
96,1937.51,0.36884,0.36207,0.91374,0.99603,0.91061,0.97093,0.83642,0.5189,0.49279,0.86047,0.000595,0.000595,0.000595
97,1955.55,0.35134,0.34783,0.89265,0.99393,0.91618,0.97164,0.83192,0.51419,0.49027,0.86044,0.000496,0.000496,0.000496
98,1973.55,0.35966,0.35702,0.91014,0.9852,0.92654,0.97132,0.83314,0.52001,0.48873,0.86348,0.000397,0.000397,0.000397
99,1991.48,0.36297,0.35522,0.9117,0.98772,0.92658,0.97086,0.83357,0.51987,0.48415,0.86542,0.000298,0.000298,0.000298
100,2009.43,0.37349,0.35877,0.91744,0.98543,0.9267,0.9697,0.83419,0.51874,0.48013,0.86808,0.000199,0.000199,0.000199
