epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,346.626,0.70213,0.9445,1.097,0.86362,0.6945,0.79625,0.60043,0.98211,1.49456,1.29042,0.005842,0.005842,0.005842
44,354.628,0.76751,0.95844,1.11851,0.75341,0.72465,0.77587,0.56919,1.11254,1.37773,1.37367,0.005743,0.005743,0.005743
45,362.577,0.74853,0.92709,1.11714,0.84467,0.74737,0.8048,0.57341,1.1186,1.36483,1.38862,0.005644,0.005644,0.005644
46,370.609,0.692,0.90144,1.10339,0.92766,0.57778,0.78123,0.57204,1.09907,1.2719,1.35468,0.005545,0.005545,0.005545
47,378.687,0.70262,0.90061,1.08399,0.83087,0.63123,0.78983,0.57815,0.98433,1.20063,1.239,0.005446,0.005446,0.005446
48,386.617,0.67585,0.89023,1.07361,0.72751,0.81747,0.80189,0.6204,0.83143,1.20243,1.141,0.005347,0.005347,0.005347
49,394.56,0.72728,0.93005,1.07919,0.97425,0.69977,0.86471,0.68387,0.79554,1.12873,1.11561,0.005248,0.005248,0.005248
50,402.607,0.67953,0.86852,1.03691,0.98274,0.72972,0.87305,0.66237,0.81873,1.08634,1.09733,0.005149,0.005149,0.005149
51,410.554,0.70698,0.85965,1.09857,0.68242,0.85283,0.80906,0.61687,0.90228,1.14659,1.1895,0.00505,0.00505,0.00505
52,418.519,0.6681,0.86421,1.06263,0.87827,0.71111,0.78118,0.59479,0.94366,1.13486,1.17075,0.004951,0.004951,0.004951
53,426.409,0.65305,0.78986,1.04017,0.94888,0.70342,0.79552,0.61526,0.93643,1.10584,1.16728,0.004852,0.004852,0.004852
54,434.291,0.6483,0.83988,1.05961,0.96138,0.71111,0.82692,0.65638,0.80386,1.01939,1.03561,0.004753,0.004753,0.004753
55,442.127,0.59913,0.79713,1.02611,0.85695,0.83451,0.85865,0.71728,0.75767,0.99658,1.00179,0.004654,0.004654,0.004654
56,450.166,0.67489,0.823,1.06328,0.96002,0.70192,0.77445,0.6204,0.85269,1.03632,1.09658,0.004555,0.004555,0.004555
57,458.06,0.63792,0.77575,1.03078,0.91625,0.72316,0.79005,0.63485,0.86592,1.02197,1.11748,0.004456,0.004456,0.004456
