epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,366.737,0.76954,1.00329,1.0986,0.86501,0.82189,0.84378,0.58323,1.04159,1.26809,1.19661,0.0059041,0.0059041,0.0059041
43,374.52,0.7058,0.91609,1.09093,0.8799,0.85226,0.83929,0.6248,0.92551,1.17655,1.10928,0.0058042,0.0058042,0.0058042
44,382.7,0.66511,0.91459,1.05455,0.8643,0.81469,0.84518,0.62667,0.98198,1.23228,1.14964,0.0057043,0.0057043,0.0057043
45,390.739,0.74102,0.89553,1.064,0.85122,0.88054,0.85731,0.63428,0.84514,1.20875,1.0683,0.0056044,0.0056044,0.0056044
46,398.575,0.72151,0.94105,1.10735,0.88963,0.85299,0.85382,0.65665,0.89446,1.16333,1.18987,0.0055045,0.0055045,0.0055045
47,406.291,0.73216,0.99112,1.12102,0.87933,0.87018,0.84977,0.60413,0.98163,1.16458,1.28155,0.0054046,0.0054046,0.0054046
48,414.101,0.62927,0.84461,1.05556,0.83497,0.76711,0.80892,0.57023,1.0069,1.29248,1.32675,0.0053047,0.0053047,0.0053047
49,421.883,0.70709,0.8455,1.06847,0.85647,0.7521,0.79827,0.55392,1.13367,1.386,1.43397,0.0052048,0.0052048,0.0052048
50,429.666,0.7216,0.9007,1.05571,0.90861,0.88273,0.85045,0.62001,0.89944,1.26478,1.14888,0.0051049,0.0051049,0.0051049
51,437.399,0.67282,0.85138,1.06961,0.88952,0.87862,0.8653,0.62242,0.89929,1.20432,1.17421,0.005005,0.005005,0.005005
52,445.149,0.7381,0.88022,1.10031,0.92312,0.81538,0.86766,0.64557,0.85807,1.16422,1.13482,0.0049051,0.0049051,0.0049051
53,452.861,0.70218,0.84706,1.10925,0.71429,0.82222,0.81278,0.57343,0.95161,1.20697,1.23808,0.0048052,0.0048052,0.0048052
