epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,1175.61,0.63389,0.63506,1.02594,0.98382,0.90132,0.95197,0.78243,0.56493,0.78577,0.86439,0.005743,0.005743,0.005743
45,1202.23,0.66051,0.64323,1.03534,0.94566,0.90958,0.94982,0.79733,0.5591,0.82227,0.86636,0.005644,0.005644,0.005644
46,1228.73,0.6558,0.63191,1.04127,0.9865,0.91176,0.93418,0.80287,0.54393,0.82711,0.85112,0.005545,0.005545,0.005545
47,1255.38,0.63575,0.63276,1.03092,0.94721,0.88687,0.9206,0.77506,0.57007,0.92046,0.88475,0.005446,0.005446,0.005446
48,1282.05,0.65513,0.61462,1.04864,0.9861,0.90204,0.94809,0.79012,0.66506,0.76749,0.90891,0.005347,0.005347,0.005347
49,1308.8,0.62042,0.60174,1.03722,0.95012,0.89156,0.95589,0.80028,0.70979,0.80295,0.97189,0.005248,0.005248,0.005248
50,1335.25,0.60929,0.5969,1.0202,0.98478,0.89206,0.93972,0.79645,0.68928,0.81283,0.95477,0.005149,0.005149,0.005149
51,1361.77,0.63093,0.60026,1.02642,0.95967,0.90106,0.94092,0.78994,0.70887,0.84728,0.98564,0.00505,0.00505,0.00505
52,1388.18,0.60321,0.58346,1.01562,0.99724,0.88648,0.94998,0.78546,0.61696,0.86858,0.8805,0.004951,0.004951,0.004951
53,1414.49,0.6233,0.59632,1.01667,0.9717,0.89088,0.9438,0.77948,0.62475,0.84284,0.88848,0.004852,0.004852,0.004852
54,1441.01,0.63395,0.57489,1.02611,0.96165,0.87633,0.94686,0.78881,0.57392,0.94899,0.8844,0.004753,0.004753,0.004753
55,1467.55,0.59143,0.54717,1.00458,0.95592,0.92874,0.96476,0.8026,0.59698,0.82394,0.89557,0.004654,0.004654,0.004654
56,1494.04,0.60806,0.54957,1.02731,0.96069,0.9066,0.94596,0.78866,0.59452,0.79389,0.90551,0.004555,0.004555,0.004555
57,1520.66,0.58797,0.5624,1.01159,0.9784,0.91777,0.95393,0.78338,0.61677,0.74407,0.91035,0.004456,0.004456,0.004456
58,1547.17,0.60093,0.55993,1.02111,0.96748,0.83512,0.92363,0.76632,0.58511,0.91179,0.91796,0.004357,0.004357,0.004357
59,1573.9,0.58259,0.53375,0.99865,0.98024,0.92081,0.96495,0.80769,0.56648,0.75108,0.85043,0.004258,0.004258,0.004258
60,1600.54,0.58814,0.55163,0.99349,0.96498,0.91934,0.96253,0.80705,0.61488,0.63596,0.86436,0.004159,0.004159,0.004159
61,1626.99,0.58024,0.53843,1.00099,0.97986,0.89327,0.97831,0.80555,0.58802,0.54398,0.86319,0.00406,0.00406,0.00406
62,1653.66,0.59888,0.52188,1.00872,0.97988,0.91315,0.96226,0.79058,0.585,0.61268,0.85558,0.003961,0.003961,0.003961
63,1680.16,0.55547,0.50489,0.99476,0.98082,0.94142,0.97843,0.81342,0.60726,0.58228,0.86058,0.003862,0.003862,0.003862
64,1706.84,0.56585,0.51632,0.9977,0.98244,0.90856,0.96184,0.8127,0.58757,0.6133,0.83867,0.003763,0.003763,0.003763
65,1733.39,0.54917,0.50078,0.99691,0.97642,0.9049,0.96307,0.80478,0.59184,0.62169,0.84103,0.003664,0.003664,0.003664
66,1759.86,0.55557,0.50891,0.99347,0.95636,0.89152,0.94658,0.79267,0.57161,0.72505,0.84069,0.003565,0.003565,0.003565
67,1786.34,0.5687,0.52008,0.98411,0.9721,0.89007,0.95753,0.81044,0.58902,0.73862,0.85477,0.003466,0.003466,0.003466
